Project_Key,year_quarter,n_resolved,n_with_sprint_id,pct_with_sprint_id,n_status_events_total,avg_status_events_per_issue
MDL,2014-Q4,2853,99.0,0.0347,10022.0,3.51
JRASERVER,2018-Q1,2827,11.0,0.0039,9633.0,3.41
TIMOB,2011-Q2,2774,0.0,0.0,7148.0,2.58
MDL,2012-Q1,2510,0.0,0.0,6951.0,2.77
JRASERVER,2015-Q2,2232,3.0,0.0013,8951.0,4.01
MDL,2013-Q2,2003,25.0,0.0125,7798.0,3.89
MDL,2014-Q1,1979,238.0,0.1203,7949.0,4.02
CONFSERVER,2014-Q2,1948,76.0,0.039,5461.0,2.8
SERVER,2020-Q1,1909,0.0,0.0,9289.0,4.87
SERVER,2020-Q2,1870,0.0,0.0,9051.0,4.84
EVG,2018-Q3,1860,0.0,0.0,2775.0,1.49
JRASERVER,2013-Q4,1819,0.0,0.0,8361.0,4.6
SERVER,2019-Q2,1758,0.0,0.0,8354.0,4.75
JRASERVER,2019-Q4,1738,0.0,0.0,3550.0,2.04
APSTUD,2011-Q2,1732,0.0,0.0,4289.0,2.48
SERVER,2020-Q3,1699,0.0,0.0,8361.0,4.92
APSTUD,2012-Q3,1656,0.0,0.0,4299.0,2.6
JRASERVER,2017-Q4,1631,17.0,0.0104,5321.0,3.26
SERVER,2019-Q4,1629,0.0,0.0,7476.0,4.59
CONFSERVER,2016-Q2,1608,8.0,0.005,6450.0,4.01
SERVER,2018-Q2,1598,0.0,0.0,4378.0,2.74
TIMOB,2017-Q2,1563,154.0,0.0985,2970.0,1.9
JRASERVER,2019-Q3,1557,0.0,0.0,4492.0,2.89
SERVER,2019-Q3,1532,0.0,0.0,7159.0,4.67
SERVER,2018-Q1,1527,0.0,0.0,4560.0,2.99
SERVER,2018-Q3,1523,0.0,0.0,4493.0,2.95
DM,2020-Q2,1521,481.0,0.3162,4415.0,2.9
DM,2019-Q2,1511,488.0,0.323,3917.0,2.59
CONFSERVER,2013-Q1,1502,22.0,0.0146,3868.0,2.58
SERVER,2019-Q1,1500,0.0,0.0,7003.0,4.67
MDL,2017-Q4,1439,4.0,0.0028,6231.0,4.33
INDY,2019-Q1,1436,900.0,0.6267,6284.0,4.38
CONFCLOUD,2019-Q4,1384,27.0,0.0195,5331.0,3.85
SERVER,2016-Q3,1366,0.0,0.0,5158.0,3.78
MDL,2012-Q3,1343,1.0,0.0007,7142.0,5.32
MDL,2012-Q4,1326,0.0,0.0,6304.0,4.75
SERVER,2015-Q3,1323,0.0,0.0,5210.0,3.94
MDL,2010-Q3,1322,0.0,0.0,3199.0,2.42
SERVER,2018-Q4,1321,0.0,0.0,5802.0,4.39
MDL,2012-Q2,1315,0.0,0.0,7025.0,5.34
DM,2019-Q4,1306,393.0,0.3009,3950.0,3.02
SERVER,2017-Q3,1305,0.0,0.0,4906.0,3.76
DM,2020-Q1,1285,337.0,0.2623,3705.0,2.88
CONFSERVER,2013-Q2,1283,48.0,0.0374,3733.0,2.91
MDL,2014-Q2,1263,113.0,0.0895,7485.0,5.93
BAM,2020-Q2,1252,3.0,0.0024,4625.0,3.69
CONFSERVER,2013-Q4,1250,136.0,0.1088,4033.0,3.23
MDL,2010-Q4,1245,0.0,0.0,2889.0,2.32
DM,2019-Q1,1227,539.0,0.4393,3377.0,2.75
CONFSERVER,2016-Q1,1210,4.0,0.0033,3159.0,2.61
