Project,CT_Definition,CT_Column,N_total,N_usable,Coverage_pct
JRACLOUD,CT1,CT1_Resolution_Time_Minutes,5433,5433,100.0
JRACLOUD,CT2,CT2_In_Progress_Minutes,5433,5433,100.0
JRACLOUD,CT3,CT3_Resolution_minus_Created_Minutes,5433,1646,30.3
JRACLOUD,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,5433,275,5.06
JRACLOUD,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,5433,287,5.28
JRACLOUD,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,5433,287,5.28
MDL,CT1,CT1_Resolution_Time_Minutes,8521,8521,100.0
MDL,CT2,CT2_In_Progress_Minutes,8521,8521,100.0
MDL,CT3,CT3_Resolution_minus_Created_Minutes,8521,4901,57.52
MDL,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,8521,3489,40.95
MDL,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,8521,3491,40.97
MDL,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,8521,3491,40.97
SERVER,CT1,CT1_Resolution_Time_Minutes,18806,18806,100.0
SERVER,CT2,CT2_In_Progress_Minutes,18806,18806,100.0
SERVER,CT3,CT3_Resolution_minus_Created_Minutes,18806,15974,84.94
SERVER,CT4,CT4_Resolution_minus_FirstInProgress_Minutes,18806,9215,49.0
SERVER,CT5,CT5_FinalDone_minus_FirstInProgress_Minutes,18806,9248,49.18
SERVER,CT6,CT6_FirstDone_minus_FirstInProgress_Minutes,18806,9248,49.18
