Project,CT_Definition,N_usable,Coverage_pct,Median_minutes,IQR_minutes,P10_minutes,P90_minutes,Median_days,IQR_days,P10_days,P90_days
JRACLOUD,CT1,5433,100.0,0.0,6568.0,0.0,311429.2000000003,0.0,4.561111111111111,0.0,216.27027777777798
JRACLOUD,CT2,5433,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JRACLOUD,CT3,1646,30.3,85671.5,495010.5,1714.5,826038.0,59.49409722222222,343.7572916666667,1.190625,573.6375
JRACLOUD,CT4,275,5.06,10082.0,39508.0,0.0,157919.7999999998,7.001388888888889,27.43611111111111,0.0,109.66652777777765
JRACLOUD,CT5,287,5.28,69333.0,352594.5,2.6000000000000014,625727.8,48.14791666666667,244.85729166666667,0.0018055555555555566,434.53319444444446
JRACLOUD,CT6,287,5.28,0.0,21865.0,-202574.59999999998,63172.40000000001,0.0,15.184027777777779,-140.67680555555555,43.86972222222223
MDL,CT1,8521,100.0,2041.0,37964.0,0.0,142875.0,1.417361111111111,26.363888888888887,0.0,99.21875
MDL,CT2,8521,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MDL,CT3,4901,57.52,27649.0,85097.0,1125.0,256599.0,19.200694444444444,59.09513888888889,0.78125,178.19375
MDL,CT4,3489,40.95,15840.0,32464.0,2576.0,85370.00000000007,11.0,22.544444444444444,1.788888888888889,59.28472222222227
MDL,CT5,3491,40.97,15827.0,32467.5,2569.0,85321.0,10.990972222222222,22.546875,1.7840277777777778,59.25069444444444
MDL,CT6,3491,40.97,15540.0,32312.0,2367.0,84688.0,10.791666666666666,22.43888888888889,1.64375,58.81111111111111
SERVER,CT1,18806,100.0,13019.5,53417.0,0.0,142579.5,9.041319444444444,37.09513888888889,0.0,99.01354166666667
SERVER,CT2,18806,100.0,0.0,1321.75,0.0,9944.5,0.0,0.9178819444444445,0.0,6.9059027777777775
SERVER,CT3,15974,84.94,20505.0,62898.0,654.9000000000005,162969.40000000002,14.239583333333334,43.67916666666667,0.45479166666666704,113.17319444444446
SERVER,CT4,9215,49.0,7745.0,18590.5,323.0,46847.80000000015,5.378472222222222,12.910069444444444,0.22430555555555556,32.53319444444455
SERVER,CT5,9248,49.18,8221.5,18810.5,323.0,47868.40000000001,5.709375,13.062847222222222,0.22430555555555556,33.24194444444445
SERVER,CT6,9248,49.18,7332.5,18389.5,276.0,44760.50000000003,5.092013888888889,12.770486111111111,0.19166666666666668,31.083680555555574
