Project,CT_Definition,N_missing,N_nonpositive,N_usable,Coverage_pct,Median_minutes,IQR_minutes,P10_minutes,P90_minutes,Median_days,IQR_days,P10_days,P90_days
JRACLOUD,CT1,0,2,1644,99.88,86002.5,495377.5,1735.4,826464.0000000001,59.723958333333336,344.01215277777777,1.205138888888889,573.9333333333334
JRACLOUD,CT2,0,1436,210,12.76,10163.0,37363.75,46.900000000000006,134582.59999999998,7.057638888888889,25.94704861111111,0.03256944444444445,93.46013888888888
JRACLOUD,CT3,0,2,1644,99.88,86002.5,495378.25,1735.4,826464.0000000001,59.723958333333336,344.0126736111111,1.205138888888889,573.9333333333334
JRACLOUD,CT4,1371,32,243,14.76,12905.0,48780.0,101.80000000000008,181643.6,8.961805555555555,33.875,0.0706944444444445,126.1413888888889
JRACLOUD,CT5,1371,15,260,15.8,112458.5,362555.5,972.8000000000001,628383.4,78.09618055555555,251.7746527777778,0.6755555555555556,436.3773611111111
JRACLOUD,CT6,1371,140,135,8.2,11580.0,50003.0,47.00000000000001,155757.8000000003,8.041666666666666,34.72430555555555,0.03263888888888889,108.1651388888891
MDL,CT1,0,5,4896,99.9,27874.5,85307.5,1144.0,256601.0,19.357291666666665,59.24131944444444,0.7944444444444444,178.1951388888889
MDL,CT2,0,4901,0,0.0,,,,,,,,
MDL,CT3,0,5,4896,99.9,27901.0,85307.5,1144.0,256631.0,19.375694444444445,59.24131944444444,0.7944444444444444,178.21597222222223
MDL,CT4,1412,26,3463,70.66,15934.0,32444.0,2870.6000000000013,85880.40000000005,11.065277777777778,22.530555555555555,1.9934722222222232,59.6391666666667
MDL,CT5,1412,26,3463,70.66,15934.0,32444.0,2870.6000000000013,85880.40000000005,11.065277777777778,22.530555555555555,1.9934722222222232,59.6391666666667
MDL,CT6,1412,42,3447,70.33,15889.0,32403.0,2750.2,85260.40000000001,11.034027777777778,22.502083333333335,1.909861111111111,59.20861111111112
SERVER,CT1,0,11,15963,99.93,20545.0,62890.5,677.2,163035.0000000001,14.26736111111111,43.67395833333333,0.4702777777777778,113.21875000000006
SERVER,CT2,0,7651,8323,52.1,1475.0,8307.5,13.0,19711.0,1.0243055555555556,5.769097222222222,0.009027777777777777,13.688194444444445
SERVER,CT3,0,11,15963,99.93,20545.0,62890.5,677.2,163035.0000000001,14.26736111111111,43.67395833333333,0.4702777777777778,113.21875000000006
SERVER,CT4,6759,69,9146,57.26,8200.0,18623.5,369.5,47319.0,5.694444444444445,12.932986111111111,0.2565972222222222,32.860416666666666
SERVER,CT5,6759,69,9146,57.26,8333.5,18841.5,377.5,47875.0,5.787152777777778,13.084375,0.2621527777777778,33.24652777777778
SERVER,CT6,6759,137,9078,56.83,7510.0,18414.75,343.0,45089.1,5.215277777777778,12.788020833333333,0.23819444444444443,31.311875
