Project,CT_Definition,Coverage_pct,Median_days
JRACLOUD,CT1,99.88,59.723958333333336
JRACLOUD,CT2,12.76,7.057638888888889
JRACLOUD,CT3,99.88,59.723958333333336
JRACLOUD,CT4,14.76,8.961805555555555
JRACLOUD,CT5,15.8,78.09618055555555
JRACLOUD,CT6,8.2,8.041666666666666
MDL,CT1,99.9,19.357291666666665
MDL,CT3,99.9,19.375694444444445
MDL,CT4,70.66,11.065277777777778
MDL,CT5,70.66,11.065277777777778
MDL,CT6,70.33,11.034027777777778
SERVER,CT1,99.93,14.26736111111111
SERVER,CT2,52.1,1.0243055555555556
SERVER,CT3,99.93,14.26736111111111
SERVER,CT4,57.26,5.694444444444445
SERVER,CT5,57.26,5.787152777777778
SERVER,CT6,56.83,5.215277777777778
